demand_electricity,electricity_balance,pv,soc,delta_battery,supply_grid_power,heat_pump
-0.0,-2.1185284212487487,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.10027160999967699,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.2478400037485071,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.9992162087532476,0.0,0.2,0.0,0.0,-0.0
-0.0,0.0,0.0,0.4725288398751973,-4.542147331253288,0.0,-0.0
-0.0,0.0,0.0,0.4396475278379127,0.44389771250334153,0.0,-0.0
-0.0,-0.8039058254325463,0.0,0.2,3.2352416258118217,0.0,-0.0
-0.0,-3.1638054425006055,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.904400000003079,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.3431999999993423,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.1877999999978783,0.0,0.2,0.0,0.0,-0.0
-0.0,-5.6141999999999825,0.0,0.2,0.0,0.0,-0.0
-0.0,-5.246800000004441,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.6793999999972584,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.1486000000022614,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.219199999999546,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.910200000002078,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.6701999999968393,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.6973999999991065,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.1233999999985826,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.6863999999986846,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.8654000000060476,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.8205999999972844,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.2307999999993626,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.2248240550016267,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.8978536737457651,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.8548330337554891,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.545104057497078,0.0,0.2,0.0,0.0,-0.0
-0.0,0.0,0.0,0.45692466027519274,-4.282077671253212,0.0,-0.0
-0.0,0.0,0.0,0.6780328206499356,-3.685136006245715,0.0,-0.0
-0.0,0.0,0.0,0.6613981485204907,0.22456807374750606,0.0,-0.0
-0.0,0.0,0.0,0.5407182072239465,1.6291792075033478,0.0,-0.0
-0.0,0.0,0.0,0.40596265166826284,1.8192000000017294,0.0,-0.0
-0.0,-1.107104202474834,0.0,0.2,2.780495797521548,0.0,-0.0
-0.0,-4.196399999998903,0.0,0.2,0.0,0.0,-0.0
-0.0,-4.597799999997733,0.0,0.2,0.0,0.0,-0.0
-0.0,-6.0151999999998225,0.0,0.2,0.0,0.0,-0.0
-0.0,-4.067400000005364,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.1193999999995867,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.3183999999964726,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.29580000000351,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.5129999999990105,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.8754000000008093,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.0163999999986117,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.8560000000015863,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.6871999999984836,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.201999999997497,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.4844000000030064,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.599958662500291,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.6499903474964377,0.0,0.2,0.0,0.0,-0.0
-0.0,0.0,0.0,0.2812178822747889,-1.3536313712464814,0.0,-0.0
-0.0,0.0,0.0,0.3258235941498292,-0.7434285312506717,0.0,-0.0
-0.0,0.0,0.0,0.5373735160247465,-3.525832031248621,0.0,-0.0
-0.0,0.0,0.0,0.6513432542745659,-1.8994956374969894,0.0,-0.0
-0.0,0.0,0.0,0.5486191974227368,1.3867747674996913,0.0,-0.0
-0.0,0.0,0.0,0.3789773239971073,2.2901652912459984,0.0,-0.0
-0.0,0.0,0.0,0.26419213881203596,1.5495999999984635,0.0,-0.0
-0.0,-1.5190061260407655,0.0,0.2,0.8665938739624853,0.0,-0.0
-0.0,-4.1908000000039465,0.0,0.2,0.0,0.0,-0.0
-0.0,-5.262599999996382,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.705199999998513,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.3150000000041473,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.890399999992951,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.7968000000018947,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.4878000000026077,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.2003999999997177,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.2516000000032363,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.1893999999974767,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.9992000000020198,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.8669999999947323,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.6079999999983556,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.480600000000777,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.9573642050017231,0.0,0.2,0.0,0.0,-0.0
-0.0,0.0,0.0,0.2172924203746413,-0.2882070062440217,0.0,-0.0
-0.0,0.0,0.0,0.21565960083838856,0.022043063739411874,0.0,-0.0
-0.0,0.0,0.0,0.2528451874130279,-0.6197597762439896,0.0,-0.0
-0.0,0.0,0.0,0.2722837055629528,-0.32397530249874784,0.0,-0.0
-0.0,0.0,0.0,0.2808094087877958,-0.14209505374738343,0.0,-0.0
-0.0,0.0,0.0,0.29445890418823206,-0.22749159000727084,0.0,-0.0
-0.0,-3.939684028459781,0.0,0.2,1.2751952065411325,0.0,-0.0
-0.0,-3.0478000000039174,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.135999999998603,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.1196000000018103,0.0,0.2,0.0,0.0,-0.0
-0.0,-4.289800000000469,0.0,0.2,0.0,0.0,-0.0
-0.0,-5.033399999998437,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.369799999994939,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.703400000003967,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.9337999999970634,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.681400000003123,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.850399999999354,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.9855999999999767,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.7852000000002591,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.8296000000009369,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.0543999999954394,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.0710000000053697,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.3017999999974563,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.4793236487469994,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.5780694137540775,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.3251334800001661,0.0,0.2,0.0,0.0,-0.0
-0.0,0.0,0.0,0.22039689822501643,-0.33994830375027363,0.0,-0.0
-0.0,0.0,0.0,0.43479924724982283,-3.573372483746773,0.0,-0.0
-0.0,0.0,0.0,0.3224987989167593,1.5160560524963569,0.0,-0.0
-0.0,0.0,0.0,0.2720471035466738,0.6810978874961554,0.0,-0.0
-0.0,-1.3076067533774334,0.0,0.2,0.9726358978800957,0.0,-0.0
-0.0,-3.182199999993827,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.723600000002989,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.9901999999965483,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.890199999999822,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.915000000002692,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.873600000004444,0.0,0.2,0.0,0.0,-0.0
